O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
2400001,21445,P,80291.26,1995-04-03,3-MEDIUM,Clerk#000000085,0,n deposits. blithely even accounts
2400002,104548,F,119166.38,1994-08-25,2-HIGH,Clerk#000000698,0,lar dependencies grow quickly beside the furiously even packages. fu
2400003,8512,O,271227.30,1996-07-09,1-URGENT,Clerk#000000557,0,en pearls are slyly after 
2400004,85286,O,150853.32,1996-09-30,1-URGENT,Clerk#000000938,0,"lar excuses. even, regular "
2400005,147364,F,96488.60,1994-05-03,2-HIGH,Clerk#000000844,0,o beans. quickly even courts promise furiously enticing waters-- furious
2400006,95339,O,275113.40,1995-11-14,1-URGENT,Clerk#000000017,0,instructions. slyly ironic deposits nag among the b
2400007,46249,F,182347.68,1993-07-10,4-NOT SPECIFIED,Clerk#000000453,0,aintain quickly furiously special theodolite
2400032,130357,F,49629.16,1994-08-16,5-LOW,Clerk#000000527,0,lyly final ideas. quickly final pinto beans are
2400033,138706,F,252678.56,1995-02-01,1-URGENT,Clerk#000000729,0,"the silent, regular requests are slyly regular deposits. blithely ironic d"
2400034,79036,F,191980.36,1994-11-09,1-URGENT,Clerk#000000586,0,lites. pinto beans haggle qui
2400035,90086,F,264244.97,1993-04-09,4-NOT SPECIFIED,Clerk#000000118,0,rding to the carefully special pac
2400036,118624,F,240961.82,1993-05-31,5-LOW,Clerk#000000640,0,yly. quickly even packages use. final ideas wake 
2400037,33697,O,89864.37,1997-06-25,2-HIGH,Clerk#000000296,0,thely blithe deposits. furiou
2400038,65305,F,77179.19,1992-12-14,2-HIGH,Clerk#000000673,0," detect slyly around the even, final "
2400039,8068,O,9561.67,1996-02-28,4-NOT SPECIFIED,Clerk#000000766,0,ounts? furiously regular
2400064,145765,O,55898.16,1996-02-14,5-LOW,Clerk#000000712,0,ng the slyly final realms. fluffily even deposits eat furiously slyly s
2400065,70822,O,167194.45,1996-12-30,1-URGENT,Clerk#000000012,0,t evenly among the slyly express deposits. furiously regul
2400066,25273,F,252423.29,1993-05-07,4-NOT SPECIFIED,Clerk#000000882,0,ckly. fluffily bold accounts
2400067,112898,O,185246.64,1998-03-29,4-NOT SPECIFIED,Clerk#000000515,0,ts are around the blithely regular deposits. slyly even theodolites ar
2400068,114808,O,309237.89,1996-06-28,5-LOW,Clerk#000000678,0,y ironic deposits. furious
2400069,103156,F,294964.49,1994-12-17,4-NOT SPECIFIED,Clerk#000000726,0,"l, ironic accounts. requests are above the ironic gi"
2400070,24100,O,122139.47,1997-04-07,2-HIGH,Clerk#000000102,0,believe slyly final accounts. unusual packages around
2400071,25478,F,7623.08,1994-07-02,1-URGENT,Clerk#000000535,0,ironic packages are furiously. silent pinto beans against the even requests a
2400096,102937,O,124112.91,1995-10-26,5-LOW,Clerk#000000748,0,counts. blithely final deposit
2400097,82705,F,168010.42,1994-12-12,4-NOT SPECIFIED,Clerk#000000750,0,"s. ironic, brave reques"
2400098,104477,O,122607.60,1996-03-18,2-HIGH,Clerk#000000571,0,maintain. fluffily final deposits x-ray across th
2400099,39943,O,49525.09,1997-08-16,2-HIGH,Clerk#000000639,0,ly ironic gifts. furiously ironic packages haggle ca
2400100,61102,F,199423.69,1992-07-17,5-LOW,Clerk#000000843,0,according to the blithely regular theodolites nag carefully special acco
2400101,19960,O,223678.02,1996-02-25,5-LOW,Clerk#000000916,0,"ges are blithely blithely bold courts? ironic, final acc"
2400102,37369,O,233587.79,1996-12-09,1-URGENT,Clerk#000000995,0,ng to the ironic asymp
2400103,140965,F,222455.82,1992-03-03,5-LOW,Clerk#000000001,0,"sly express packages. final, even pinto beans "
2400128,72964,F,238427.75,1994-06-28,3-MEDIUM,Clerk#000000607,0,eposits integrate slyly unusual patterns. fur
2400129,29437,O,160664.77,1997-11-29,2-HIGH,Clerk#000000981,0,quickly express dinos. fluffi
2400130,18034,F,67500.32,1993-03-16,2-HIGH,Clerk#000000329,0," deposits. special, final excuses a"
2400131,72892,F,46854.20,1993-03-26,5-LOW,Clerk#000000887,0,ly furiously ironic attainments. 
2400132,30088,F,268882.21,1994-04-14,2-HIGH,Clerk#000000630,0,ly ironic platelets integrat
2400133,5728,F,287617.91,1994-02-03,5-LOW,Clerk#000000666,0,"oss the furiously regular deposits kindle even, even packages. blit"
2400134,99754,F,109377.39,1994-06-25,2-HIGH,Clerk#000000456,0,t the regular accounts. packages sleep blithely slyly unusual pinto bean
2400135,1147,F,141748.69,1992-07-02,3-MEDIUM,Clerk#000000452,0,egular pinto beans boost slyly. pending pinto beans haggle
2400160,76900,F,157339.70,1995-01-23,1-URGENT,Clerk#000000316,0,c somas haggle along the i
2400161,25882,O,158337.78,1996-12-29,4-NOT SPECIFIED,Clerk#000000820,0,"t instructions sleep blithely enticing, special instructions. platelets caj"
2400162,115402,F,33917.23,1993-01-10,5-LOW,Clerk#000000737,0, packages against the ev
2400163,40966,F,7203.66,1993-02-06,3-MEDIUM,Clerk#000000524,0,"ke quickly theodolites. silent, ironic foxes dazzle after the unusual "
2400164,135922,O,55059.87,1997-06-29,4-NOT SPECIFIED,Clerk#000000655,0,dly unusual instructions wake slyly afte
2400165,79705,O,104193.80,1995-10-14,4-NOT SPECIFIED,Clerk#000000466,0,deposits are according to the furiously even requests. fluffily even
2400166,99326,F,201221.32,1992-03-18,1-URGENT,Clerk#000000827,0,into beans. furiousl
2400167,5780,O,246335.86,1995-07-11,4-NOT SPECIFIED,Clerk#000000082,0,carefully about the special reques
2400192,86078,F,113603.45,1994-12-21,5-LOW,Clerk#000000506,0,ncies. carefully final req
2400193,108349,F,200286.02,1992-12-23,2-HIGH,Clerk#000000901,0,out the packages na
2400194,146230,F,261486.25,1994-04-30,4-NOT SPECIFIED,Clerk#000000655,0,are furiously alongside of the accounts. bold pac
2400195,65347,O,33921.92,1997-10-14,4-NOT SPECIFIED,Clerk#000000433,0,s are alongside of the ruthlessly ironic i
2400196,105887,O,225465.88,1998-02-23,2-HIGH,Clerk#000000218,0,e blithely special sentiments. furiously final accounts lose blith
2400197,40378,F,33683.16,1993-06-25,1-URGENT,Clerk#000000876,0,sly even requests. quickly ironic asymptotes wake quickly above the b
2400198,18142,O,156329.35,1996-08-04,4-NOT SPECIFIED,Clerk#000000122,0,furiously furiously pending deposits. blithely ironi
2400199,90595,F,196238.24,1994-05-24,2-HIGH,Clerk#000000432,0,ep furiously. slyly ironic ac
2400224,98342,O,225229.56,1996-08-20,1-URGENT,Clerk#000000319,0," regular, furious dependencies am"
2400225,124207,O,235145.30,1997-10-10,1-URGENT,Clerk#000000394,0,ep furiously above th
2400226,121102,F,199870.52,1993-08-03,2-HIGH,Clerk#000000455,0,ntly unusual requests solve slyly accordin
2400227,133360,F,87187.39,1994-02-04,1-URGENT,Clerk#000000559,0,ray. bold deposits cajole. even requests affi
2400228,75229,O,145716.30,1997-05-22,1-URGENT,Clerk#000000515,0,sleep after the bli
2400229,5005,O,104717.73,1995-04-13,1-URGENT,Clerk#000000659,0,al foxes according to the furio
2400230,105865,O,72575.34,1995-06-05,1-URGENT,Clerk#000000084,0,nal pinto beans haggle carefully furiously 
2400231,92723,O,12422.20,1998-07-18,4-NOT SPECIFIED,Clerk#000000356,0,according to the theodolites solve quickly across the iron
2400256,29164,O,167631.27,1997-07-17,4-NOT SPECIFIED,Clerk#000000792,0," final, regular requests. slyly even foxes detect among the even depos"
2400257,98635,O,4736.20,1997-06-04,2-HIGH,Clerk#000000846,0, express accounts. carefully special asymptotes integrate carefully pe
2400258,95666,F,282562.35,1994-05-09,3-MEDIUM,Clerk#000000891,0,l pinto beans nag qui
2400259,7342,P,145253.69,1995-05-30,3-MEDIUM,Clerk#000000926,0,"ly. dependencies integrate; express, express instru"
2400260,81479,O,328930.12,1995-11-14,1-URGENT,Clerk#000000599,0,"nding, regular deposits. fluffily bold requests gr"
2400261,62876,F,110414.80,1994-08-27,1-URGENT,Clerk#000000603,0,packages. requests cajole carefully. i
2400262,146567,F,93301.63,1993-10-17,2-HIGH,Clerk#000000117,0,eposits. slyly regular accounts sleep? fl
2400263,42379,O,264069.50,1997-05-20,3-MEDIUM,Clerk#000000626,0,es haggle. foxes sleep furiousl
2400288,36964,F,121910.55,1994-12-16,1-URGENT,Clerk#000000222,0,ress foxes wake furiously alongside 
2400289,86392,O,267858.01,1997-01-24,5-LOW,Clerk#000000890,0," according to the special, final dolphins. packages are car"
2400290,115096,O,91302.74,1996-11-24,4-NOT SPECIFIED,Clerk#000000107,0, packages hang furiou
2400291,140237,O,153850.95,1997-08-03,1-URGENT,Clerk#000000266,0,its. blithely unusual
2400292,148831,F,241799.27,1992-02-01,2-HIGH,Clerk#000000278,0,fluffily against the furiously spe
2400293,140377,P,309125.13,1995-04-09,1-URGENT,Clerk#000000034,0,express asymptotes boost blit
2400294,100051,F,5881.44,1994-01-08,2-HIGH,Clerk#000000455,0,deas. pending accounts about the regu
2400295,47573,O,213304.00,1997-02-14,5-LOW,Clerk#000000340,0,e after the warhorses. p
2400320,54421,P,338159.28,1995-05-26,4-NOT SPECIFIED,Clerk#000000395,0,ns. dugouts sleep carefully furiously final accounts-- quickly regu
2400321,77359,O,70380.96,1996-07-19,4-NOT SPECIFIED,Clerk#000000652,0,equests. slyly ironic theodol
2400322,106270,F,194429.18,1992-01-31,5-LOW,Clerk#000000254,0, ironic platelets use slyly. fluffily 
2400323,20149,P,165366.89,1995-03-10,2-HIGH,Clerk#000000046,0,gle furiously among the carefully br
2400324,83950,O,282718.23,1996-11-23,1-URGENT,Clerk#000000858,0,es are. platelets cajole after the special deposits. bold accounts
2400325,43156,F,72198.38,1994-09-26,3-MEDIUM,Clerk#000000880,0,ckages are carefull
2400326,46186,O,77988.07,1996-01-05,3-MEDIUM,Clerk#000000662,0,ongside of the furiously final pinto beans haggle blithely packa
2400327,146828,O,392706.10,1996-08-10,2-HIGH,Clerk#000000102,0, slyly express accounts above the
2400352,83287,F,155932.71,1993-04-06,2-HIGH,Clerk#000000680,0, carefully express accounts. carefully regular theodolites hagg
2400353,143662,O,271713.87,1997-02-01,3-MEDIUM,Clerk#000000382,0,lly even pinto beans haggle furiously against the ironic ideas. pinto bean
2400354,110818,F,267147.95,1993-01-19,2-HIGH,Clerk#000000299,0,mong the pending accounts cajol
2400355,95638,F,260082.14,1993-08-27,5-LOW,Clerk#000000807,0,ns print about the quickly express fox
2400356,107584,O,164299.88,1996-01-06,4-NOT SPECIFIED,Clerk#000000394,0,ts sleep bravely. busily express packages are
2400357,37364,F,66417.46,1993-07-19,2-HIGH,Clerk#000000987,0,ng requests unwind fluffily after the furiously final theodolites. fu
2400358,68323,O,201518.90,1997-08-22,4-NOT SPECIFIED,Clerk#000000566,0,fully final accounts. fin
2400359,48406,O,192020.66,1996-02-13,5-LOW,Clerk#000000094,0,s the quickly express asymptotes. carefully special ideas use fluffily. caref
2400384,90859,O,106443.48,1998-03-31,5-LOW,Clerk#000000275,0,inside the boldly pending packages. bold requests cajole.
2400385,33901,F,164427.36,1994-03-28,1-URGENT,Clerk#000000369,0,ounts are furiously according to the fluffily regular accounts. spec
2400386,67139,F,54495.02,1992-08-03,1-URGENT,Clerk#000000825,0, dependencies. regular foxes integrat
