ORDER_DATE,YEAR,QUARTER,MONTH,MONTH_NAME,DAY,MONTH_START,QUARTER_START,QUARTER_LABEL
1992-01-01,1992,1,1,Jan,1,1992-01-01,1992-01-01,Q1
1992-01-02,1992,1,1,Jan,2,1992-01-01,1992-01-01,Q1
1992-01-03,1992,1,1,Jan,3,1992-01-01,1992-01-01,Q1
1992-01-04,1992,1,1,Jan,4,1992-01-01,1992-01-01,Q1
1992-01-05,1992,1,1,Jan,5,1992-01-01,1992-01-01,Q1
1992-01-06,1992,1,1,Jan,6,1992-01-01,1992-01-01,Q1
1992-01-07,1992,1,1,Jan,7,1992-01-01,1992-01-01,Q1
1992-01-08,1992,1,1,Jan,8,1992-01-01,1992-01-01,Q1
1992-01-09,1992,1,1,Jan,9,1992-01-01,1992-01-01,Q1
1992-01-10,1992,1,1,Jan,10,1992-01-01,1992-01-01,Q1
1992-01-11,1992,1,1,Jan,11,1992-01-01,1992-01-01,Q1
1992-01-12,1992,1,1,Jan,12,1992-01-01,1992-01-01,Q1
1992-01-13,1992,1,1,Jan,13,1992-01-01,1992-01-01,Q1
1992-01-14,1992,1,1,Jan,14,1992-01-01,1992-01-01,Q1
1992-01-15,1992,1,1,Jan,15,1992-01-01,1992-01-01,Q1
1992-01-16,1992,1,1,Jan,16,1992-01-01,1992-01-01,Q1
1992-01-17,1992,1,1,Jan,17,1992-01-01,1992-01-01,Q1
1992-01-18,1992,1,1,Jan,18,1992-01-01,1992-01-01,Q1
1992-01-19,1992,1,1,Jan,19,1992-01-01,1992-01-01,Q1
1992-01-20,1992,1,1,Jan,20,1992-01-01,1992-01-01,Q1
1992-01-21,1992,1,1,Jan,21,1992-01-01,1992-01-01,Q1
1992-01-22,1992,1,1,Jan,22,1992-01-01,1992-01-01,Q1
1992-01-23,1992,1,1,Jan,23,1992-01-01,1992-01-01,Q1
1992-01-24,1992,1,1,Jan,24,1992-01-01,1992-01-01,Q1
1992-01-25,1992,1,1,Jan,25,1992-01-01,1992-01-01,Q1
1992-01-26,1992,1,1,Jan,26,1992-01-01,1992-01-01,Q1
1992-01-27,1992,1,1,Jan,27,1992-01-01,1992-01-01,Q1
1992-01-28,1992,1,1,Jan,28,1992-01-01,1992-01-01,Q1
1992-01-29,1992,1,1,Jan,29,1992-01-01,1992-01-01,Q1
1992-01-30,1992,1,1,Jan,30,1992-01-01,1992-01-01,Q1
1992-01-31,1992,1,1,Jan,31,1992-01-01,1992-01-01,Q1
1992-02-01,1992,1,2,Feb,1,1992-02-01,1992-01-01,Q1
1992-02-02,1992,1,2,Feb,2,1992-02-01,1992-01-01,Q1
1992-02-03,1992,1,2,Feb,3,1992-02-01,1992-01-01,Q1
1992-02-04,1992,1,2,Feb,4,1992-02-01,1992-01-01,Q1
1992-02-05,1992,1,2,Feb,5,1992-02-01,1992-01-01,Q1
1992-02-06,1992,1,2,Feb,6,1992-02-01,1992-01-01,Q1
1992-02-07,1992,1,2,Feb,7,1992-02-01,1992-01-01,Q1
1992-02-08,1992,1,2,Feb,8,1992-02-01,1992-01-01,Q1
1992-02-09,1992,1,2,Feb,9,1992-02-01,1992-01-01,Q1
1992-02-10,1992,1,2,Feb,10,1992-02-01,1992-01-01,Q1
1992-02-11,1992,1,2,Feb,11,1992-02-01,1992-01-01,Q1
1992-02-12,1992,1,2,Feb,12,1992-02-01,1992-01-01,Q1
1992-02-13,1992,1,2,Feb,13,1992-02-01,1992-01-01,Q1
1992-02-14,1992,1,2,Feb,14,1992-02-01,1992-01-01,Q1
1992-02-15,1992,1,2,Feb,15,1992-02-01,1992-01-01,Q1
1992-02-16,1992,1,2,Feb,16,1992-02-01,1992-01-01,Q1
1992-02-17,1992,1,2,Feb,17,1992-02-01,1992-01-01,Q1
1992-02-18,1992,1,2,Feb,18,1992-02-01,1992-01-01,Q1
1992-02-19,1992,1,2,Feb,19,1992-02-01,1992-01-01,Q1
1992-02-20,1992,1,2,Feb,20,1992-02-01,1992-01-01,Q1
1992-02-21,1992,1,2,Feb,21,1992-02-01,1992-01-01,Q1
1992-02-22,1992,1,2,Feb,22,1992-02-01,1992-01-01,Q1
1992-02-23,1992,1,2,Feb,23,1992-02-01,1992-01-01,Q1
1992-02-24,1992,1,2,Feb,24,1992-02-01,1992-01-01,Q1
1992-02-25,1992,1,2,Feb,25,1992-02-01,1992-01-01,Q1
1992-02-26,1992,1,2,Feb,26,1992-02-01,1992-01-01,Q1
1992-02-27,1992,1,2,Feb,27,1992-02-01,1992-01-01,Q1
1992-02-28,1992,1,2,Feb,28,1992-02-01,1992-01-01,Q1
1992-02-29,1992,1,2,Feb,29,1992-02-01,1992-01-01,Q1
1992-03-01,1992,1,3,Mar,1,1992-03-01,1992-01-01,Q1
1992-03-02,1992,1,3,Mar,2,1992-03-01,1992-01-01,Q1
1992-03-03,1992,1,3,Mar,3,1992-03-01,1992-01-01,Q1
1992-03-04,1992,1,3,Mar,4,1992-03-01,1992-01-01,Q1
1992-03-05,1992,1,3,Mar,5,1992-03-01,1992-01-01,Q1
1992-03-06,1992,1,3,Mar,6,1992-03-01,1992-01-01,Q1
1992-03-07,1992,1,3,Mar,7,1992-03-01,1992-01-01,Q1
1992-03-08,1992,1,3,Mar,8,1992-03-01,1992-01-01,Q1
1992-03-09,1992,1,3,Mar,9,1992-03-01,1992-01-01,Q1
1992-03-10,1992,1,3,Mar,10,1992-03-01,1992-01-01,Q1
1992-03-11,1992,1,3,Mar,11,1992-03-01,1992-01-01,Q1
1992-03-12,1992,1,3,Mar,12,1992-03-01,1992-01-01,Q1
1992-03-13,1992,1,3,Mar,13,1992-03-01,1992-01-01,Q1
1992-03-14,1992,1,3,Mar,14,1992-03-01,1992-01-01,Q1
1992-03-15,1992,1,3,Mar,15,1992-03-01,1992-01-01,Q1
1992-03-16,1992,1,3,Mar,16,1992-03-01,1992-01-01,Q1
1992-03-17,1992,1,3,Mar,17,1992-03-01,1992-01-01,Q1
1992-03-18,1992,1,3,Mar,18,1992-03-01,1992-01-01,Q1
1992-03-19,1992,1,3,Mar,19,1992-03-01,1992-01-01,Q1
1992-03-20,1992,1,3,Mar,20,1992-03-01,1992-01-01,Q1
1992-03-21,1992,1,3,Mar,21,1992-03-01,1992-01-01,Q1
1992-03-22,1992,1,3,Mar,22,1992-03-01,1992-01-01,Q1
1992-03-23,1992,1,3,Mar,23,1992-03-01,1992-01-01,Q1
1992-03-24,1992,1,3,Mar,24,1992-03-01,1992-01-01,Q1
1992-03-25,1992,1,3,Mar,25,1992-03-01,1992-01-01,Q1
1992-03-26,1992,1,3,Mar,26,1992-03-01,1992-01-01,Q1
1992-03-27,1992,1,3,Mar,27,1992-03-01,1992-01-01,Q1
1992-03-28,1992,1,3,Mar,28,1992-03-01,1992-01-01,Q1
1992-03-29,1992,1,3,Mar,29,1992-03-01,1992-01-01,Q1
1992-03-30,1992,1,3,Mar,30,1992-03-01,1992-01-01,Q1
1992-03-31,1992,1,3,Mar,31,1992-03-01,1992-01-01,Q1
1992-04-01,1992,2,4,Apr,1,1992-04-01,1992-04-01,Q2
1992-04-02,1992,2,4,Apr,2,1992-04-01,1992-04-01,Q2
1992-04-03,1992,2,4,Apr,3,1992-04-01,1992-04-01,Q2
1992-04-04,1992,2,4,Apr,4,1992-04-01,1992-04-01,Q2
1992-04-05,1992,2,4,Apr,5,1992-04-01,1992-04-01,Q2
1992-04-06,1992,2,4,Apr,6,1992-04-01,1992-04-01,Q2
1992-04-07,1992,2,4,Apr,7,1992-04-01,1992-04-01,Q2
1992-04-08,1992,2,4,Apr,8,1992-04-01,1992-04-01,Q2
1992-04-09,1992,2,4,Apr,9,1992-04-01,1992-04-01,Q2
1992-04-10,1992,2,4,Apr,10,1992-04-01,1992-04-01,Q2
1992-04-11,1992,2,4,Apr,11,1992-04-01,1992-04-01,Q2
1992-04-12,1992,2,4,Apr,12,1992-04-01,1992-04-01,Q2
1992-04-13,1992,2,4,Apr,13,1992-04-01,1992-04-01,Q2
1992-04-14,1992,2,4,Apr,14,1992-04-01,1992-04-01,Q2
1992-04-15,1992,2,4,Apr,15,1992-04-01,1992-04-01,Q2
1992-04-16,1992,2,4,Apr,16,1992-04-01,1992-04-01,Q2
1992-04-17,1992,2,4,Apr,17,1992-04-01,1992-04-01,Q2
1992-04-18,1992,2,4,Apr,18,1992-04-01,1992-04-01,Q2
1992-04-19,1992,2,4,Apr,19,1992-04-01,1992-04-01,Q2
1992-04-20,1992,2,4,Apr,20,1992-04-01,1992-04-01,Q2
1992-04-21,1992,2,4,Apr,21,1992-04-01,1992-04-01,Q2
1992-04-22,1992,2,4,Apr,22,1992-04-01,1992-04-01,Q2
1992-04-23,1992,2,4,Apr,23,1992-04-01,1992-04-01,Q2
1992-04-24,1992,2,4,Apr,24,1992-04-01,1992-04-01,Q2
