ORDER_ID,CUSTOMER_ID,CUSTOMER_NAME,MARKET_SEGMENT,NATION_ID,PRODUCT_ID,PRODUCT_NAME,MANUFACTURER,PRODUCT_TYPE,PRODUCT_SIZE,QUANTITY,GROSS_REVENUE,DISCOUNT_RATE,TAX_RATE,NET_REVENUE,DISCOUNT_AMOUNT,ORDER_DATE,ORDER_MONTH,ORDER_QUARTER,ORDER_YEAR,ORDER_STATUS,SHIP_MODE,PROMOTION_TIER
4383623,15499,Customer#000015499,HOUSEHOLD,18,8057,khaki azure firebrick purple spring,Manufacturer#3,MEDIUM BURNISHED NICKEL,29,9.00,8685.45,0.00,0.02,8685.45,0.00,1998-07-01,1998-07-01,1998-07-01,1998,O,FOB,No Promotion
4383623,15499,Customer#000015499,HOUSEHOLD,18,11669,navy white peru plum slate,Manufacturer#3,LARGE PLATED COPPER,39,19.00,30032.54,0.03,0.02,29131.56,900.98,1998-07-01,1998-07-01,1998-07-01,1998,O,MAIL,Low Discount
4383623,15499,Customer#000015499,HOUSEHOLD,18,116622,chocolate salmon cyan plum papaya,Manufacturer#5,SMALL ANODIZED COPPER,34,33.00,54074.46,0.10,0.02,48667.01,5407.45,1998-07-01,1998-07-01,1998-07-01,1998,O,AIR,High Discount
4383648,86587,Customer#000086587,AUTOMOBILE,22,114762,misty magenta yellow navy black,Manufacturer#3,ECONOMY ANODIZED NICKEL,33,37.00,65740.12,0.09,0.07,59823.51,5916.61,1998-03-13,1998-03-01,1998-01-01,1998,O,AIR,High Discount
4383648,86587,Customer#000086587,AUTOMOBILE,22,196232,light steel papaya misty salmon,Manufacturer#5,STANDARD PLATED STEEL,25,27.00,35862.21,0.02,0.02,35144.97,717.24,1998-03-13,1998-03-01,1998-01-01,1998,O,REG AIR,Low Discount
4383648,86587,Customer#000086587,AUTOMOBILE,22,69265,coral hot cornsilk rose maroon,Manufacturer#4,LARGE BURNISHED BRASS,22,46.00,56775.96,0.05,0.04,53937.16,2838.80,1998-03-13,1998-03-01,1998-01-01,1998,O,SHIP,Medium Discount
4383649,86791,Customer#000086791,AUTOMOBILE,15,95760,maroon beige drab dim light,Manufacturer#3,ECONOMY PLATED COPPER,10,10.00,17557.60,0.06,0.05,16504.14,1053.46,1996-12-22,1996-12-01,1996-10-01,1996,O,FOB,Medium Discount
4383649,86791,Customer#000086791,AUTOMOBILE,15,33385,cornsilk chartreuse bisque misty deep,Manufacturer#5,ECONOMY POLISHED COPPER,22,27.00,35596.26,0.00,0.04,35596.26,0.00,1996-12-22,1996-12-01,1996-10-01,1996,O,SHIP,No Promotion
4383649,86791,Customer#000086791,AUTOMOBILE,15,91681,antique slate azure grey smoke,Manufacturer#5,SMALL BURNISHED BRASS,14,13.00,21744.84,0.07,0.08,20222.70,1522.14,1996-12-22,1996-12-01,1996-10-01,1996,O,SHIP,Medium Discount
4383649,86791,Customer#000086791,AUTOMOBILE,15,78018,yellow mint ivory hot forest,Manufacturer#4,SMALL ANODIZED NICKEL,14,50.00,49800.50,0.07,0.06,46314.47,3486.04,1996-12-22,1996-12-01,1996-10-01,1996,O,TRUCK,Medium Discount
4383649,86791,Customer#000086791,AUTOMOBILE,15,48466,peach linen maroon orchid spring,Manufacturer#4,MEDIUM PLATED BRASS,43,28.00,39604.88,0.02,0.00,38812.78,792.10,1996-12-22,1996-12-01,1996-10-01,1996,O,FOB,Low Discount
4383649,86791,Customer#000086791,AUTOMOBILE,15,154217,peru bisque green gainsboro pale,Manufacturer#1,PROMO BRUSHED BRASS,18,41.00,52119.61,0.07,0.08,48471.24,3648.37,1996-12-22,1996-12-01,1996-10-01,1996,O,SHIP,Medium Discount
4383650,89503,Customer#000089503,MACHINERY,14,145378,metallic maroon blanched puff light,Manufacturer#5,MEDIUM PLATED COPPER,10,36.00,51241.32,0.03,0.08,49704.08,1537.24,1993-09-19,1993-09-01,1993-07-01,1993,F,FOB,Low Discount
4383650,89503,Customer#000089503,MACHINERY,14,160262,wheat ivory black chiffon grey,Manufacturer#3,ECONOMY BURNISHED TIN,5,33.00,43634.58,0.05,0.08,41452.85,2181.73,1993-09-19,1993-09-01,1993-07-01,1993,F,FOB,Medium Discount
4383650,89503,Customer#000089503,MACHINERY,14,117223,linen metallic dark hot magenta,Manufacturer#2,STANDARD PLATED TIN,5,43.00,53329.46,0.04,0.08,51196.28,2133.18,1993-09-19,1993-09-01,1993-07-01,1993,F,TRUCK,Low Discount
4383650,89503,Customer#000089503,MACHINERY,14,162178,cornflower tan forest medium pink,Manufacturer#4,SMALL PLATED NICKEL,1,1.00,1240.17,0.07,0.03,1153.36,86.81,1993-09-19,1993-09-01,1993-07-01,1993,F,REG AIR,Medium Discount
4383651,69695,Customer#000069695,FURNITURE,6,99478,dim almond sienna midnight aquamarine,Manufacturer#1,PROMO PLATED STEEL,1,12.00,17729.64,0.02,0.06,17375.05,354.59,1996-02-28,1996-02-01,1996-01-01,1996,O,SHIP,Low Discount
4383651,69695,Customer#000069695,FURNITURE,6,120250,bisque cream hot navy misty,Manufacturer#5,MEDIUM POLISHED COPPER,38,40.00,50810.00,0.07,0.01,47253.30,3556.70,1996-02-28,1996-02-01,1996-01-01,1996,O,REG AIR,Medium Discount
4383651,69695,Customer#000069695,FURNITURE,6,38888,forest turquoise purple magenta hot,Manufacturer#4,STANDARD PLATED BRASS,17,14.00,25576.32,0.08,0.03,23530.21,2046.11,1996-02-28,1996-02-01,1996-01-01,1996,O,REG AIR,High Discount
4383651,69695,Customer#000069695,FURNITURE,6,182074,blue grey maroon dim coral,Manufacturer#2,LARGE BRUSHED BRASS,22,27.00,31213.89,0.07,0.02,29028.92,2184.97,1996-02-28,1996-02-01,1996-01-01,1996,O,AIR,Medium Discount
4383651,69695,Customer#000069695,FURNITURE,6,114282,hot ghost magenta gainsboro burlywood,Manufacturer#2,PROMO POLISHED NICKEL,32,33.00,42777.24,0.02,0.02,41921.70,855.54,1996-02-28,1996-02-01,1996-01-01,1996,O,AIR,Low Discount
4383652,148276,Customer#000148276,FURNITURE,12,173295,mint rosy white dark indian,Manufacturer#4,MEDIUM PLATED TIN,48,3.00,4104.87,0.04,0.02,3940.68,164.19,1993-07-15,1993-07-01,1993-07-01,1993,F,FOB,Low Discount
4383652,148276,Customer#000148276,FURNITURE,12,159350,mint dark drab antique yellow,Manufacturer#5,LARGE BURNISHED COPPER,34,37.00,52145.95,0.07,0.07,48495.73,3650.22,1993-07-15,1993-07-01,1993-07-01,1993,F,TRUCK,Medium Discount
4383652,148276,Customer#000148276,FURNITURE,12,183542,magenta yellow peru goldenrod ivory,Manufacturer#3,SMALL BRUSHED TIN,42,2.00,3251.08,0.07,0.02,3023.50,227.58,1993-07-15,1993-07-01,1993-07-01,1993,F,MAIL,Medium Discount
4383652,148276,Customer#000148276,FURNITURE,12,186901,honeydew chiffon khaki brown coral,Manufacturer#1,MEDIUM ANODIZED BRASS,22,31.00,61624.90,0.10,0.07,55462.41,6162.49,1993-07-15,1993-07-01,1993-07-01,1993,F,RAIL,High Discount
4383652,148276,Customer#000148276,FURNITURE,12,41688,light salmon saddle plum rose,Manufacturer#5,SMALL BRUSHED TIN,16,27.00,44001.36,0.05,0.08,41801.29,2200.07,1993-07-15,1993-07-01,1993-07-01,1993,F,RAIL,Medium Discount
4383652,148276,Customer#000148276,FURNITURE,12,43445,forest purple papaya grey light,Manufacturer#1,PROMO BURNISHED TIN,14,32.00,44430.08,0.04,0.02,42652.88,1777.20,1993-07-15,1993-07-01,1993-07-01,1993,F,REG AIR,Low Discount
4383653,102143,Customer#000102143,MACHINERY,11,35971,misty moccasin almond medium khaki,Manufacturer#4,MEDIUM BURNISHED STEEL,8,29.00,55302.13,0.04,0.03,53090.04,2212.09,1997-02-01,1997-02-01,1997-01-01,1997,O,REG AIR,Low Discount
4383653,102143,Customer#000102143,MACHINERY,11,155691,burlywood floral khaki chiffon azure,Manufacturer#5,ECONOMY POLISHED NICKEL,7,50.00,87334.50,0.04,0.02,83841.12,3493.38,1997-02-01,1997-02-01,1997-01-01,1997,O,FOB,Low Discount
4383653,102143,Customer#000102143,MACHINERY,11,83064,cornflower honeydew burlywood tomato lime,Manufacturer#3,LARGE POLISHED BRASS,9,18.00,18847.08,0.09,0.03,17150.84,1696.24,1997-02-01,1997-02-01,1997-01-01,1997,O,FOB,High Discount
4383653,102143,Customer#000102143,MACHINERY,11,46978,powder mint cornsilk navajo blush,Manufacturer#3,ECONOMY BRUSHED BRASS,24,3.00,5774.91,0.06,0.04,5428.42,346.49,1997-02-01,1997-02-01,1997-01-01,1997,O,RAIL,Medium Discount
4383653,102143,Customer#000102143,MACHINERY,11,147689,burlywood lace deep sienna cornflower,Manufacturer#5,STANDARD ANODIZED STEEL,18,50.00,86834.00,0.00,0.06,86834.00,0.00,1997-02-01,1997-02-01,1997-01-01,1997,O,TRUCK,No Promotion
4383653,102143,Customer#000102143,MACHINERY,11,196625,purple cornsilk red pink floral,Manufacturer#3,SMALL BRUSHED NICKEL,2,47.00,80916.14,0.00,0.06,80916.14,0.00,1997-02-01,1997-02-01,1997-01-01,1997,O,RAIL,No Promotion
